Date,Close,High,Low,Open,Volume
2010-01-04,84.5785140991211,84.62329045377957,83.22024296736411,83.86206395538726,118944600
2010-01-05,84.80238342285156,84.83970083964267,84.2202681614759,84.52625503641553,111579900
2010-01-06,84.86206817626953,85.07103199378142,84.65310435875766,84.72026885988491,116074400
2010-01-07,85.22030639648438,85.32478831807188,84.46653908174217,84.705355715919,131091100
2010-01-08,85.50391387939453,85.54123129793861,84.82478127383378,84.99642773392378,126402800
2010-01-11,85.62332916259766,85.92184574988617,85.25763666364304,85.88453402339456,106375700
2010-01-12,84.82475280761719,85.2352158046621,84.49637785491186,85.05610478220318,163333500
2010-01-13,85.54118347167969,85.78000001285845,84.60830546803831,85.04115653441295,161822000
2010-01-14,85.7725830078125,85.92930591616252,85.39196697676896,85.44420794621897,115718800
2010-01-15,84.80984497070312,85.70540600284272,84.48146993512745,85.62331793778698,212283100
2010-01-19,85.86955261230469,85.9217935527279,84.77248716958175,84.79488102447924,139172700
2010-01-20,84.99640655517578,85.41433420830795,84.317274118836,85.28746412701243,216490200
2010-01-21,83.36204528808594,85.2800438270615,83.25756332050284,85.01883890810377,344859600
2010-01-22,81.50370788574219,83.39185259032735,81.41414952217748,82.9888484950418,345942400
2010-01-25,81.921630859375,82.39926974399602,81.65296717166602,82.25000581322796,186937500
2010-01-26,81.57833862304688,82.44405240646186,81.3768394183346,81.60072679092188,211168800
2010-01-27,81.96642303466797,82.1529987008524,80.84696903756134,81.47386054289906,271863600
2010-01-28,81.0261001586914,82.2798891738561,80.53354323871896,82.23511282490557,316104000
2010-01-29,80.14543151855469,81.94402342244543,80.01856144978737,81.37683188217724,310677600
2010-02-01,81.39176177978516,81.39922640024713,80.22753151654962,80.71262935751012,187865000
2010-02-02,82.37689971923828,82.53362262151396,81.25744553683631,81.54104424043473,216327900
2010-02-03,81.96642303466797,82.451520905515,81.72760640970539,82.00373475160237,172730700
2010-02-04,79.43643188476562,81.36935243115417,79.42150264772786,81.33204072623104,356715700
2010-02-05,79.60065460205078,79.76483642536944,78.04834350472578,79.52601977146084,493585800
2010-02-08,79.02599334716797,80.10067106943076,78.96628776396719,79.66034951062228,224166900
2010-02-09,80.0185775756836,80.71263932459121,79.30958658400843,79.95140737090527,337820500
2010-02-10,79.86185455322266,80.30217041887016,79.19018097577597,79.89170734486893,240511500
2010-02-11,80.69770812988281,80.78726650280836,79.2946611170752,79.75737083643403,223591600
2010-02-12,80.63053131103516,80.67530764374328,79.48868927628364,79.84691132562222,304622100
2010-02-16,81.89925384521484,81.98134759485656,80.46635407774806,81.24250954191862,159317500
2010-02-17,82.28736114501953,82.39930772123174,81.8992804399958,82.29482007461813,168845100
2010-02-18,82.77239990234375,82.944046261618,82.12311478036672,82.15296755890036,193708600
2010-02-19,82.94405364990234,83.26496393043,82.36193865123262,82.5559788820678,222684900
2010-02-22,82.95899963378906,83.27244535883273,82.71271840961035,83.25005719187774,132346900
2010-02-23,81.9515151977539,82.98887571718075,81.73508668519047,82.73513547793745,207497000
2010-02-24,82.70524597167969,82.83958065454864,81.98879622765749,82.19776002460107,176350700
2010-02-25,82.59334564208984,82.65305124427313,81.30224473445409,81.52613220188199,259634700
2010-02-26,82.64552307128906,82.92912161667026,82.17535462676503,82.66791123143278,173589300
2010-03-01,83.50379943847656,83.58589318193008,82.96646064272164,82.98884881023858,147709700
2010-03-02,83.73516845703125,84.1381726358058,83.5859101806725,83.86204425515828,160992400
2010-03-03,83.80980682373047,84.3098283338428,83.60083725664134,83.95160048409996,150785000
2010-03-04,84.06352233886719,84.18293348496906,83.60827730856826,83.92172302633043,135770400
2010-03-05,85.26512145996094,85.33228599984011,84.40687183384973,84.60837684116781,176118800
2010-03-08,85.27999114990234,85.4665667901736,85.13073291522,85.2725322238539,114631200
2010-03-09,85.42181396484375,85.81735352004924,84.98149806567939,85.02627440963828,154556700
2010-03-10,85.80243682861328,86.03378888267827,85.38450906802136,85.45913821186438,186088800
2010-03-11,86.16065216064453,86.18304602647555,85.33972025582622,85.60092508547228,160791100
2010-03-12,86.16812896728516,86.54874502649841,85.92931227586173,86.53381578049998,162074800
2010-03-15,86.19049835205078,86.25020393534999,85.52628939590113,86.01885191736284,146816800
2010-03-16,86.87708282470703,86.95917086710996,86.19048014944573,86.42929673836895,168673000
2010-03-17,87.39205932617188,87.67565804261699,86.88457317940758,87.13831909970907,177468100
2010-03-18,87.3472671508789,87.51891358030277,86.99650397705062,87.39950811120411,196509100
2010-03-19,86.90515899658203,87.89433535380068,86.56793627555884,86.90515899658203,226641100
2010-03-22,87.3697509765625,87.52712497836629,86.35809445192491,86.41055054676433,184477800
2010-03-23,87.98424530029297,88.05918176228343,87.21238316166308,87.49714972142664,182941600
2010-03-24,87.55707550048828,87.99921024482515,86.61286600354346,87.65449802442373,196072600
2010-03-25,87.41471099853516,88.55375999582914,87.30979881657197,88.14909627227749,223396300
2010-03-26,87.36223602294922,87.99170897865872,87.01752382568678,87.57955570069194,205808500
2010-03-29,87.91677856445312,88.07414681416626,87.4446738153137,87.8043710382911,134513500
2010-03-30,87.97676849365234,88.29900049372868,87.6095757503564,88.02172923687195,145772500
2010-03-31,87.67701721191406,88.06669032836082,87.38476094525728,87.63954611422501,161078700
2010-04-01,88.2764892578125,88.61370614863122,87.75192266207975,88.2764892578125,161215200
2010-04-05,88.99588775634766,89.0558334860887,88.36640899714686,88.61370442816448,105847600
2010-04-06,89.20572662353516,89.36309490962878,88.64369458007837,88.74111140938807,110384200
2010-04-07,88.69615173339844,89.44552780027927,88.28399260969971,89.02587903235741,184576300
2010-04-08,89.00338745117188,89.15326608566326,88.12661887921722,88.38889934297049,158704000
2010-04-09,89.58788299560547,89.62534835683226,89.02585112164881,89.19070900215765,133006500
2010-04-12,89.73028564453125,89.962596105244,89.59539772831548,89.70030991678492,110279000
2010-04-13,89.79772186279297,89.95509012692354,89.17573844935917,89.64035359866239,125043600
2010-04-14,90.8168716430664,90.8168716430664,89.98506389553573,90.12744143582547,161609000
2010-04-15,90.89183044433594,91.10165484354752,90.63703959008896,90.6670153210172,144615300
2010-04-16,89.44551849365234,90.89181438093959,88.98839868303457,90.569582477017,366786700
2010-04-19,89.78270721435547,89.87263436301453,88.77854644877074,89.18321004181158,217947800
2010-04-20,90.58456420898438,90.65950637899627,89.82769860397119,90.34476412988701,157708000
2010-04-21,90.41972351074219,90.84686766160382,89.91763717560389,90.63703754982949,192910100
2010-04-22,90.68944549560547,90.80185299505017,89.26563622691569,89.78270157670863,115360300
2010-04-23,91.28147888183594,91.31894996470713,90.39721506855041,90.62952549123965,177335500
2010-04-26,90.93678283691406,91.51380559907923,90.84686136966744,91.3114708632032,143457300
2010-04-27,88.78604888916016,90.92925845562955,88.61368993646958,90.41219303212529,355853300
2010-04-28,89.46051025390625,89.6853253544713,88.62870238601526,89.2132205040273,300674100
2010-04-29,90.56957244873047,90.75691642521431,89.9775647969674,90.00004515937995,193775000
2010-04-30,89.03337097167969,90.68200179168727,89.01089060385947,90.58457924141858,270000900
2010-05-03,90.1874008178711,90.4346962710103,89.3256172709614,89.46050518019322,182747900
2010-05-04,88.0666732788086,89.19823274596551,87.6170487800206,89.18324774016305,360353400
