Ticker,Model_Paradigm,OOS_Accuracy,Macro_F1,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown
SPY,Baseline_Tech,0.44014365522745413,0.2828266202211253,0.6955583460090842,0.8687986640373448,-0.2912746957008829
SPY,MSOPT_Tokens,0.4533120510774142,0.23162265173134736,0.7618725341690387,0.9284172384689562,-0.33010625266865007
SPY,Combined,0.4433359936153232,0.2762660737987127,0.7074513509907326,0.8761200905273482,-0.2553547923527573
QQQ,Baseline_Tech,0.45411013567438147,0.2829076673645918,0.5389014630557043,0.6699503805191611,-0.43581326101897877
QQQ,MSOPT_Tokens,0.4565043894652833,0.27630026452387496,1.1893413187043593,1.508529142139912,-0.28559373813819683
QQQ,Combined,0.436951316839585,0.3010861436674872,0.6635969266404562,0.8486607976300601,-0.34846646982213225
AAPL,Baseline_Tech,0.43056664006384676,0.32664293804272776,0.30701129784929093,0.4171133086053803,-0.5611825413304096
AAPL,MSOPT_Tokens,0.3934557063048683,0.27561141547618967,0.7117472829379923,0.965189132436998,-0.30222584121715595
AAPL,Combined,0.4030327214684757,0.30801023124099297,0.8869539708572206,1.2305405848142974,-0.34007492384614674
TLT,Baseline_Tech,0.3822825219473264,0.2905773869937225,-0.03847892986970856,-0.05727765506561221,-0.4022459186413628
TLT,MSOPT_Tokens,0.38786911412609737,0.2719053103480676,0.2322963483599552,0.3535728340849534,-0.42790471789761453
TLT,Combined,0.3766959297685555,0.28661818325232213,0.18329606517420632,0.2689628918336299,-0.35277242100854356
