Ticker,Scale_Configuration,N_Pattern_Tokens,OOS_Accuracy,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown
SPY,SingleScale_w4,111,0.43953858392999207,0.4104547326477205,0.4930266074131499,-0.3371726769000344
SPY,SingleScale_w16,2127,0.45664280031821797,0.5859814212775213,0.6923994367613804,-0.33957187296622365
SPY,SingleScale_w32,542,0.462211614956245,0.5729644275847342,0.6880923083983588,-0.30662668969759366
SPY,Full_MultiScale_MSOPT,15331,0.46579156722354814,0.7615887752780973,0.9007778338373807,-0.2542842927067571
